cupper_points,aroma,flavor,aftertaste,acidity,sweetness,species,country_of_origin,variety,processing_method,color,altitude,unit
8.25,8.17,8.08,8.08,8,10,Arabica,Honduras,Caturra,NA,Green,1400,m
8.17,8,8,8,8.25,10,Arabica,Taiwan,Sumatra,Pulped natural / honey,Green,1200,m
8,7.92,8.25,8,8.33,10,Arabica,Nicaragua,NA,NA,NA,NA,m
8.17,8.42,8.17,8.17,8,10,Arabica,"Tanzania, United Republic Of",NA,Natural / Dry,Bluish-Green,NA,m
8,8.5,8.17,8,7.75,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,1300,m
8.42,8.17,7.83,8,8.08,10,Arabica,Costa Rica,Caturra,Washed / Wet,Blue-Green,1300,m
8.08,8,8.08,7.92,8,10,Arabica,Ethiopia,NA,Natural / Dry,Green,1775,m
8.08,8.08,8,8,8.25,10,Arabica,Kenya,SL34,Washed / Wet,Blue-Green,1800,m
8.33,8.08,8.17,8,7.92,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,NA,NA,ft
8.25,8.25,8.42,8.08,7.75,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
8.17,7.92,7.75,8.08,8.08,10,Arabica,Ethiopia,NA,NA,NA,NA,m
8.08,7.67,8.17,8,8,10,Arabica,United States,Other,Washed / Wet,NA,1941,m
8.42,7.83,8.33,7.83,8.25,10,Arabica,Thailand,Caturra,Washed / Wet,Green,1300,m
8.08,8.17,7.92,7.92,7.75,10,Arabica,Brazil,Yellow Bourbon,NA,NA,12,m
8.17,8.42,7.92,8,7.75,10,Arabica,Brazil,Yellow Bourbon,NA,NA,12,m
8.42,8.08,8.17,7.75,8.08,10,Arabica,Taiwan,Bourbon,Semi-washed / Semi-pulped,Green,1000,m
8,8.08,8.08,8,8,10,Arabica,Kenya,SL28,Natural / Dry,Bluish-Green,1754,m
8,8.33,8,8,8,10,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,Blue-Green,1250,m
8.08,8.08,8.08,7.83,7.92,10,Arabica,Uganda,NA,Semi-washed / Semi-pulped,NA,NA,m
8.17,7.75,7.92,7.83,8.08,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1200,m
8.17,7.92,8.17,7.83,8.5,10,Arabica,Kenya,SL28,Washed / Wet,Green,1860,m
7.92,8.25,8,7.83,8.08,10,Arabica,Uganda,Other,Washed / Wet,Blue-Green,1650,m
7.92,7.75,8.08,8,8.25,10,Arabica,Ethiopia,NA,NA,NA,1750,m
8.17,8.33,8.17,7.75,8,10,Arabica,United States (Hawaii),NA,NA,NA,426.72,ft
8,7.92,8.08,7.92,8.08,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,NA,m
8,8.17,8.17,7.92,8.08,10,Arabica,Uganda,SL14,Natural / Dry,Green,1650,m
7.92,8,8,8,8.17,10,Arabica,Colombia,Caturra,Washed / Wet,Blue-Green,1800,m
8,8,8,7.92,8.08,10,Arabica,Panama,Gesha,Washed / Wet,Bluish-Green,1600,m
8,7.83,8.08,7.92,8.08,10,Arabica,Ethiopia,NA,Washed / Wet,Green,1900,m
8,7.83,8,8,8.17,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1524,ft
8,8,8,7.83,8.33,10,Arabica,Guatemala,Catuai,Washed / Wet,Bluish-Green,1417.32,ft
8,7.83,8,7.83,8.17,10,Arabica,Ethiopia,Caturra,Natural / Dry,None,NA,m
8,8,8,8,8.08,10,Arabica,Peru,NA,Washed / Wet,Green,NA,m
7.92,8.33,8.42,7.83,8.33,10,Arabica,Papua New Guinea,NA,Washed / Wet,Bluish-Green,1700,m
8,7.92,8.17,8,7.92,10,Arabica,El Salvador,Bourbon,Washed / Wet,Blue-Green,1500,m
7.92,7.83,8,8,7.75,10,Arabica,El Salvador,Bourbon,Semi-washed / Semi-pulped,None,1350,m
8,7.83,8,7.92,7.75,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,NA,NA,ft
7.83,8,7.75,7.83,7.83,10,Arabica,Panama,Caturra,Natural / Dry,NA,1680,m
8,7.92,7.92,7.83,8.08,10,Arabica,Kenya,SL28,Natural / Dry,Green,1900,m
8,7.83,8,7.83,7.92,10,Arabica,Ethiopia,Other,Natural / Dry,Green,1900,m
8.08,8.33,7.92,7.67,7.92,10,Arabica,Uganda,SL14,Washed / Wet,Green,1600,m
7.83,8,7.83,7.67,8.33,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1731.264,ft
8.08,7.75,7.83,7.83,8.17,10,Arabica,Ethiopia,NA,Washed / Wet,Green,1900,m
8,8.08,8,7.83,7.67,10,Arabica,Uganda,SL14,Washed / Wet,Green,1950,m
8.25,7.92,7.92,7.75,7.92,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,NA,NA,ft
8,8,8,8,7.67,10,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,Blue-Green,1250,m
7.92,8.08,7.83,7.83,8.08,10,Arabica,El Salvador,NA,NA,NA,1400,m
7.92,8,8,8,7.83,10,Arabica,China,Catimor,Natural / Dry,Green,1700,m
7.83,7.83,7.75,7.83,7.67,10,Arabica,Guatemala,Pacamara,Natural / Dry,Green,1770,m
8,7.92,8.08,8,7.92,9.33,Arabica,Costa Rica,Caturra,Washed / Wet,Bluish-Green,1300,m
7.92,8,7.58,7.58,7.67,10,Arabica,Costa Rica,Caturra,Washed / Wet,Bluish-Green,1300,m
7.92,7.83,8.08,7.75,8.08,10,Arabica,Kenya,SL34,Washed / Wet,Green,1600,m
7.83,8,7.92,7.92,8.08,10,Arabica,Kenya,SL34,Washed / Wet,Green,1200,m
8.08,7.83,7.83,7.92,8.08,10,Arabica,Ethiopia,NA,NA,NA,NA,m
8,7.92,7.83,7.75,8.33,10,Arabica,Ethiopia,Typica,NA,NA,NA,m
7.83,8,7.92,7.75,8,10,Arabica,Guatemala,Bourbon,NA,Green,NA,m
7.92,8.17,7.92,7.83,8,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1550,m
7.92,7.58,8.08,7.92,7.83,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1550,m
8,7.75,7.83,7.67,8,10,Arabica,Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,Green,1325,m
7.92,8.25,8,7.67,7.92,10,Arabica,Guatemala,Caturra,Washed / Wet,NA,1400,m
7.83,7.75,8,7.58,8,10,Arabica,Ethiopia,Other,Natural / Dry,Green,NA,m
7.67,8.17,7.83,7.58,8.08,10,Arabica,Colombia,Caturra,Natural / Dry,NA,2560,m
8.08,8.42,8,7.42,8,10,Arabica,Ethiopia,NA,Natural / Dry,Green,1700,m
7.92,7.58,7.83,7.83,7.92,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
8.08,7.83,8,7.75,7.75,10,Arabica,Colombia,Caturra,Natural / Dry,Green,2136,m
8.17,8.08,8.17,7.92,8,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.83,7.67,8,7.83,8,10,Arabica,Ethiopia,NA,NA,NA,NA,m
7.92,7.5,7.92,8.25,7.83,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
8,8.17,7.92,7.75,7.75,10,Arabica,Uganda,SL14,Washed / Wet,Green,1800,m
7.83,8,7.92,7.75,7.92,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
7.92,7.83,8,7.58,7.92,10,Arabica,Costa Rica,Catuai,Washed / Wet,Green,1900,m
8.08,7.83,8,7.83,7.75,10,Arabica,Mexico,Typica,Washed / Wet,Green,1300,m
7.83,8.17,7.83,7.92,7.75,10,Arabica,Kenya,NA,Washed / Wet,Green,1,m
7.83,7.75,7.83,7.75,8.08,10,Arabica,Kenya,SL34,Washed / Wet,Green,1580,m
8,8,8,7.83,7.83,10,Arabica,Brazil,Mundo Novo,Natural / Dry,Green,1100,m
7.83,7.92,8.17,7.75,8.08,10,Arabica,Mexico,Pacamara,NA,NA,1400,m
7.83,7.75,7.92,7.75,7.75,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
8,7.83,8.08,7.67,8,10,Arabica,Guatemala,NA,NA,NA,1325.88,ft
7.83,7.92,7.92,7.67,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,NA,NA,m
7.83,7.92,7.83,7.75,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.92,7.67,7.83,8,7.58,10,Arabica,Taiwan,Typica,Semi-washed / Semi-pulped,Green,800,m
7.83,8,7.83,7.83,7.92,10,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,Green,1620,m
7.92,7.75,7.92,7.83,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
8.17,7.75,8,7.75,7.83,10,Arabica,Mexico,Typica,Semi-washed / Semi-pulped,NA,1200,m
7.75,8,7.92,7.75,7.75,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,1200,m
7.92,8,8,7.75,8,10,Arabica,Brazil,Catuai,Natural / Dry,Green,1000,m
7.58,8,7.67,7.83,8.17,10,Arabica,Kenya,NA,NA,NA,NA,m
8,7.92,7.58,7.83,7.83,10,Arabica,Taiwan,Typica,Natural / Dry,Green,350,m
7.83,7.75,7.92,7.67,7.67,10,Arabica,Uganda,SL14,Natural / Dry,Green,1650,m
8.08,7.67,7.75,7.75,7.75,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,NA,NA,ft
8,7.75,7.92,7.83,7.92,10,Arabica,Ethiopia,NA,NA,NA,1750,m
7.92,7.42,7.92,7.92,8,10,Arabica,Ethiopia,NA,NA,NA,1750,m
8,7.75,7.75,7.75,7.75,10,Arabica,Thailand,Caturra,Pulped natural / honey,Green,NA,m
7.92,7.92,7.83,7.58,7.92,10,Arabica,Kenya,SL34,Washed / Wet,Green,1800,m
8.17,7.83,7.75,8,7.67,10,Arabica,Honduras,Catuai,Washed / Wet,Green,1450,m
7.75,7.75,8,8,8.33,9.33,Arabica,El Salvador,NA,NA,NA,1200,m
8.5,7.83,7.58,7.58,7.83,10,Arabica,Nicaragua,NA,NA,NA,925,m
8,7.83,7.83,7.5,8,10,Arabica,El Salvador,Bourbon,Washed / Wet,Blue-Green,1350,m
7.92,7.92,7.83,7.75,7.75,10,Arabica,Indonesia,Java,Washed / Wet,Green,1200,m
8.08,7.75,7.75,7.75,7.42,10,Arabica,Japan,Mundo Novo,Pulped natural / honey,Green,170,m
7.92,8.08,7.75,7.67,7.83,10,Arabica,Costa Rica,Catuai,Washed / Wet,Blue-Green,1150,m
7.83,7.75,7.83,7.58,8,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1600,m
7.92,8.17,8,7.83,7.17,10,Arabica,Costa Rica,Caturra,Washed / Wet,Green,1750,m
7.92,8.08,7.83,7.75,7.83,10,Arabica,Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,NA,1900,m
7.67,7.67,7.58,7.75,7.75,10,Arabica,Costa Rica,Other,Other,Green,1750,m
8,8,7.58,7.83,7.75,10,Arabica,Costa Rica,Catuai,Washed / Wet,Green,1200,m
7.92,8.08,7.83,7.75,7.83,9.33,Arabica,Costa Rica,NA,Washed / Wet,Green,NA,m
7.75,8,7.92,7.75,7.75,10,Arabica,Taiwan,Typica,Washed / Wet,Green,1000,m
7.92,7.75,7.83,7.75,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1550,m
7.83,7.75,7.92,7.83,8,10,Arabica,Kenya,SL28,Washed / Wet,Bluish-Green,2000,m
7.67,8,7.83,7.67,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
8,7.67,7.83,7.67,8,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1524,ft
7.92,7.83,7.58,7.67,7.92,10,Arabica,Mexico,Typica,Washed / Wet,NA,1200,m
7.83,7.92,7.83,7.75,7.92,10,Arabica,Uganda,Other,Washed / Wet,Blue-Green,1775,m
7.92,7.67,7.83,7.75,7.75,10,Arabica,Peru,NA,NA,NA,NA,m
7.83,7.42,7.75,7.75,8,10,Arabica,Ethiopia,NA,NA,NA,1750,m
7.83,7.92,7.75,7.83,7.75,10,Arabica,Kenya,SL34,Washed / Wet,Blue-Green,1754,m
8.08,7.83,7.67,7.58,7.92,10,Arabica,Colombia,Other,Washed / Wet,Blue-Green,1500,m
7.75,7.92,7.83,7.58,8,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
7.92,7.83,7.83,7.83,7.75,10,Arabica,Kenya,Peaberry,Washed / Wet,Bluish-Green,1800,m
7.83,7.75,7.83,7.67,7.92,10,Arabica,Guatemala,Pacas,Washed / Wet,Green,1524,ft
8.17,8,7.92,7.67,7.58,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1219.2,ft
7.83,7.67,7.67,7.58,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1550,m
7.92,7.75,7.75,7.83,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1750,m
7.75,7.75,7.75,7.75,8.08,10,Arabica,Kenya,SL28,Washed / Wet,Green,NA,m
7.75,7.67,7.83,7.83,8,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.75,7.75,7.83,7.75,8,10,Arabica,Costa Rica,Bourbon,Semi-washed / Semi-pulped,Bluish-Green,1575,m
8.08,7.42,7.67,7.75,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1800,m
7.75,8,8,7.75,7.75,10,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,Green,1300,m
7.5,8.5,8,7.5,7.75,10,Arabica,Brazil,Catuai,Semi-washed / Semi-pulped,Blue-Green,1100,m
8,7.92,7.67,7.92,7.75,10,Arabica,Costa Rica,Caturra,Washed / Wet,Bluish-Green,1200,m
7.83,7.92,7.75,7.67,7.75,10,Arabica,Uganda,SL14,Washed / Wet,Green,1750,m
7.92,7.75,7.92,7.67,7.83,10,Arabica,China,Catimor,Washed / Wet,Green,1680,m
7.92,7.92,7.83,7.83,7.83,10,Arabica,Costa Rica,Caturra,Washed / Wet,Green,1700,m
7.75,8.08,7.67,7.83,7.83,10,Arabica,Colombia,Other,Washed / Wet,Green,1800,m
7.92,7.67,8,7.75,7.83,10,Arabica,China,Other,Washed / Wet,Green,1100,m
7.5,8.17,7.83,7.67,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.67,7.92,7.83,7.67,8,10,Arabica,Kenya,SL28,Washed / Wet,Blue-Green,2000,m
7.92,8,7.92,7.42,8.08,10,Arabica,Mexico,Typica,Washed / Wet,Green,1350,m
7.67,7.92,7.83,7.75,7.75,10,Arabica,Mexico,Typica,Washed / Wet,NA,1500,m
7.83,7.67,8,7.67,8,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,NA,m
8.13,7.81,7.81,7.88,7.75,10,Arabica,Brazil,NA,NA,NA,NA,m
7.75,8.17,7.67,7.75,7.75,10,Arabica,Brazil,NA,NA,NA,NA,m
7.92,7.58,7.83,7.83,8,10,Arabica,Costa Rica,Caturra,Washed / Wet,Blue-Green,1300,m
8,7.67,7.67,7.83,7.58,10,Arabica,Indonesia,Mandheling,Other,Blue-Green,1400,m
7.67,7.92,7.83,7.75,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,NA,m
7.75,7.92,7.75,7.67,7.92,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.75,7.83,7.83,7.75,8,10,Arabica,Taiwan,Typica,Washed / Wet,Blue-Green,1200,m
7.83,7.92,7.92,7.5,7.83,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Blue-Green,NA,ft
7.83,7.75,7.92,7.75,7.67,10,Arabica,Mexico,Pacamara,Washed / Wet,NA,900,m
7.75,7.5,7.75,7.83,7.92,10,Arabica,Ethiopia,NA,NA,NA,NA,m
8.17,7.33,7.58,7.83,7.75,10,Arabica,Kenya,SL28,Washed / Wet,Green,1800,m
7.58,7.92,8,7.75,7.67,10,Arabica,Honduras,Caturra,NA,Green,1500,m
7.5,7.58,7.75,7.5,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
7.83,7.58,7.92,7.58,7.75,10,Arabica,Honduras,Catuai,Washed / Wet,Green,1500,m
7.83,7.67,7.67,7.75,7.83,10,Arabica,Colombia,NA,NA,NA,NA,m
7.33,7.75,7.67,8,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,442,m
8.17,7.75,7.58,7.33,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1800,m
7.83,8,7.75,7.75,7.83,10,Arabica,Mexico,Typica,Washed / Wet,Blue-Green,1700,m
7.75,8.17,8,7.5,7.75,10,Arabica,Brazil,Yellow Bourbon,NA,NA,1275,m
7.92,8,8,7.5,7.5,10,Arabica,Brazil,NA,NA,NA,1050,m
7.75,7.75,7.75,7.92,7.75,10,Arabica,Ethiopia,NA,NA,NA,1493.52,ft
7.92,7.5,7.67,7.75,7.67,10,Arabica,Guatemala,NA,NA,NA,1386.84,ft
7.67,7.92,7.75,7.75,7.67,10,Arabica,Taiwan,Typica,Washed / Wet,Blue-Green,1000,m
8,7.83,7.75,7.75,7.42,10,Arabica,Thailand,Catimor,Natural / Dry,Green,1200,m
7.83,7.83,7.58,7.75,7.58,10,Arabica,Colombia,Caturra,Natural / Dry,Green,2560,m
7.75,7.75,7.75,7.58,7.92,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1500,m
7.75,7.75,7.92,7.5,8.08,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1099.4136,ft
7.75,7.83,7.83,7.58,7.75,10,Arabica,China,Catimor,Natural / Dry,Green,1400,m
7.83,7.67,7.67,7.75,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.75,7.83,7.67,7.75,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.83,7.83,7.75,7.83,7.58,10,Arabica,Colombia,Other,Washed / Wet,Green,1800,m
7.83,7.42,7.67,7.83,7.75,10,Arabica,Colombia,Caturra,Natural / Dry,Green,442,m
7.83,7.83,7.67,7.75,7.83,10,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,Green,1620,m
7.75,7.83,7.75,7.75,7.75,10,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,Green,1600,m
7.83,7.83,7.83,7.5,7.92,10,Arabica,Guatemala,Bourbon,Other,Green,1219.2,ft
7.83,7.58,7.5,7.75,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1700,m
7.83,7.33,7.92,7.92,7.92,9.33,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.75,7.83,7.92,7.67,7.83,10,Arabica,Mexico,Typica,Semi-washed / Semi-pulped,Green,1450,m
7.75,7.83,7.83,7.75,7.67,10,Arabica,Mexico,Bourbon,Washed / Wet,Green,1170,m
7.83,7.83,7.92,7.67,7.75,10,Arabica,Mexico,Bourbon,Washed / Wet,Bluish-Green,1400,m
7.67,8.17,7.75,7.58,7.67,10,Arabica,Uganda,Other,Natural / Dry,Green,1700,m
7.75,7.75,7.83,7.58,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1700,m
7.75,7.83,7.75,7.58,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
8,7.92,7.75,7.67,7.67,10,Arabica,Costa Rica,Caturra,Washed / Wet,Bluish-Green,1700,m
7.58,7.75,7.75,7.58,8,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1116.7872,ft
7.67,7.75,7.92,7.58,7.92,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1565,m
7.83,7.58,7.83,7.58,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,3280,m
7.67,8,7.5,7.5,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Bluish-Green,1775,m
7.83,7.67,7.83,7.83,7.5,10,Arabica,Nicaragua,Caturra,Natural / Dry,Bluish-Green,1000,m
7.75,7.67,7.75,7.75,7.67,10,Arabica,Brazil,Catuai,Natural / Dry,NA,1150,m
7.83,7.67,7.75,7.67,7.75,10,Arabica,Costa Rica,Caturra,Washed / Wet,Blue-Green,1850,m
7.75,7.5,7.92,7.58,7.83,10,Arabica,Ethiopia,Gesha,Natural / Dry,Green,1606.5,m
7.67,7.92,7.75,7.75,7.75,10,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,Green,1400,m
7.5,7.67,7.5,7.67,7.42,10,Arabica,Colombia,Other,Washed / Wet,Green,1530,m
7.83,7.67,7.75,7.67,7.75,10,Arabica,Guatemala,NA,Washed / Wet,Bluish-Green,NA,m
7.75,7.58,7.75,7.75,7.75,10,Arabica,Kenya,SL28,Washed / Wet,Green,250.5,m
7.67,7.58,7.83,7.75,7.67,10,Arabica,Brazil,Mundo Novo,Natural / Dry,Green,1038.5,m
7.42,7.92,7.75,7.67,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.92,8.42,8.08,7.5,7.17,10,Arabica,El Salvador,Bourbon,Natural / Dry,Bluish-Green,1500,m
7.58,7.75,7.75,7.75,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.67,7.83,7.5,7.5,8,10,Arabica,Guatemala,Catuai,Natural / Dry,Bluish-Green,NA,m
7.67,7.83,7.75,7.5,7.83,10,Arabica,Uganda,Other,Washed / Wet,Green,1600,m
7.75,7.81,7.88,7.56,7.75,10,Arabica,Indonesia,Mandheling,Natural / Dry,Bluish-Green,NA,m
7.5,7.83,7.5,7.42,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,442,m
7.92,7.58,7.67,7.67,7.67,10,Arabica,Taiwan,Typica,Washed / Wet,Bluish-Green,968,m
7.67,8,7.75,7.5,7.58,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,NA,m
7.67,7.92,7.75,7.67,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1775,m
7.67,7.58,7.75,7.67,8,10,Arabica,Guatemala,Bourbon,Washed / Wet,Bluish-Green,1550,m
8,7.83,7.75,7.83,7.83,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,NA,ft
7.83,7.67,7.75,7.67,7.75,10,Arabica,Mexico,Typica,Washed / Wet,Green,1480,m
7.92,7.92,7.92,7.83,8,8.67,Arabica,Ethiopia,Other,Natural / Dry,NA,1800,m
7.67,7.58,7.75,7.67,7.75,10,Arabica,Costa Rica,NA,Washed / Wet,None,NA,m
7.92,7.83,7.75,7.67,7.75,10,Arabica,Ethiopia,Gesha,Natural / Dry,Green,1800,m
7.75,7.42,7.83,7.75,7.92,10,Arabica,Honduras,Caturra,Washed / Wet,Green,1500,m
7.58,7.67,7.83,7.58,7.92,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1706.88,ft
7.83,7.67,7.67,7.83,7.58,10,Arabica,Colombia,Other,Washed / Wet,Green,1600,m
7.5,7.92,7.67,7.42,7.92,10,Arabica,Guatemala,Bourbon,Natural / Dry,Green,1219.2,ft
7.83,7.75,7.83,7.5,7.83,10,Arabica,Guatemala,Bourbon,Other,Green,1219.2,ft
7.83,7.67,7.75,7.67,7.67,10,Arabica,Colombia,NA,Washed / Wet,Green,1480,m
7.67,7.58,7.42,7.75,7.92,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1450,m
8.33,7.67,7.67,7.5,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.83,7.75,7.75,7.5,7.58,10,Arabica,Ethiopia,Other,Natural / Dry,Green,1550,m
7.92,7.58,7.83,7.67,7.25,10,Arabica,Brazil,Yellow Bourbon,Natural / Dry,Green,1260,m
7.67,7.67,7.83,7.67,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1700,m
7.67,7.67,7.83,7.5,7.75,10,Arabica,Kenya,SL34,Washed / Wet,Green,1200,m
8.42,7.92,8.17,8.17,8.42,9.33,Arabica,Thailand,Other,Washed / Wet,Green,NA,m
7.67,7.67,7.75,7.67,7.75,10,Arabica,Kenya,SL28,Washed / Wet,Bluish-Green,1650,m
7.58,7.92,7.75,7.58,7.67,10,Arabica,Uganda,Other,Washed / Wet,Green,1700,m
8,7.58,7.75,7.58,7.75,10,Arabica,Thailand,NA,NA,NA,NA,m
8.5,7.5,7.75,7.58,7.5,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,890,m
7.83,7.83,7.83,7.58,7.92,10,Arabica,Mexico,Mundo Novo,Washed / Wet,Green,1300,m
7.83,7.67,7.75,7.5,7.67,10,Arabica,Thailand,Catimor,Natural / Dry,Bluish-Green,1350,m
7.83,7.58,7.67,7.67,7.75,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,934,m
